Crop_Type,Sowing_Date,Avg_Temp,Tmax,Tmin,Actual_Yield,Germination_Days_From_Sowing,Germination_GDD_Required,Germination_Predicted_Date,Leaf_Development_Days_From_Sowing,Leaf_Development_GDD_Required,Leaf_Development_Predicted_Date,Tillering_Elongation_Days_From_Sowing,Tillering_Elongation_GDD_Required,Tillering_Elongation_Predicted_Date,Reproductive_Days_From_Sowing,Reproductive_GDD_Required,Reproductive_Predicted_Date,Grain_Filling_Days_From_Sowing,Grain_Filling_GDD_Required,Grain_Filling_Predicted_Date,Maturity_Days_From_Sowing,Maturity_GDD_Required,Maturity_Predicted_Date,Total_Season_Length_Predicted,Total_GDD_Required,Current_Growth_Stage,Days_To_Maturity,Harvest_Window_Start,Harvest_Window_End,Sowing_Date_dt
Cotton,2023-06-20,29.0,37.3,23.4,2.3,11,88.4,2023-07-01,34,590.7,2023-07-24,53,1220.4,2023-08-12,126,2089.5,2023-10-24,141,3273.9,2023-11-08,212,4034.5,2024-01-18,202,4166.0,Maturity,212,2024-01-23,2024-02-02,2023-06-20
Maize,2023-06-16,30.2,40.0,23.7,9.3,7,145.9,2023-06-23,19,482.6,2023-07-05,43,984.8,2023-07-29,73,1467.0,2023-08-28,80,1868.6,2023-09-04,106,2378.0,2023-09-30,132,2669.0,Grain_Filling,106,2023-10-05,2023-10-15,2023-06-16
Wheat,2023-10-18,15.2,23.0,8.6,3.1,10,81.0,2023-10-28,20,382.4,2023-11-07,45,638.6,2023-12-02,81,1460.2,2024-01-07,102,1513.5,2024-01-28,124,2065.1,2024-02-19,133,1976.0,Leaf_Development,124,2024-02-24,2024-03-05,2023-10-18
Wheat,2023-10-30,14.7,24.4,9.8,3.1,10,81.8,2023-11-09,20,329.8,2023-11-19,43,646.3,2023-12-12,88,1301.2,2024-01-26,93,1473.7,2024-01-31,126,1902.9,2024-03-04,115,1861.0,Leaf_Development,126,2024-03-09,2024-03-19,2023-10-30
Cotton,2023-07-27,33.6,42.8,28.8,1.9,5,104.0,2023-08-01,25,474.4,2023-08-21,53,1034.5,2023-09-18,119,2476.0,2023-11-23,148,3091.6,2023-12-22,206,3719.8,2024-02-18,227,3711.0,Tillering_Elongation,206,2024-02-23,2024-03-04,2023-07-27
Rice,2023-07-07,31.9,42.1,26.9,7.7,5,87.6,2023-07-12,20,441.0,2023-07-27,51,859.8,2023-08-27,82,1762.4,2023-09-27,117,1973.5,2023-11-01,127,2733.2,2023-11-11,137,2732.0,Maturity,127,2023-11-16,2023-11-26,2023-07-07
Cotton,2023-07-31,34.3,40.7,28.7,0.8,11,103.3,2023-08-11,40,471.4,2023-09-09,56,1144.1,2023-09-25,110,2374.7,2023-11-18,153,2856.4,2023-12-31,205,3704.3,2024-02-21,195,3771.0,Tillering_Elongation,205,2024-02-26,2024-03-07,2023-07-31
Sugarcane,2023-06-06,34.0,45.7,28.3,73.7,15,246.2,2023-06-21,83,1082.9,2023-08-28,163,2680.7,2023-11-16,227,3623.4,2024-01-19,289,4428.8,2024-03-21,322,4558.9,2024-04-23,329,4950.0,Leaf_Development,322,2024-04-28,2024-05-08,2023-06-06
Rice,2023-06-06,34.4,45.0,26.5,4.5,10,117.5,2023-06-16,35,356.8,2023-07-11,57,835.7,2023-08-02,100,1665.6,2023-09-14,101,1957.5,2023-09-15,138,2622.2,2023-10-22,135,2524.0,Tillering_Elongation,138,2023-10-27,2023-11-06,2023-06-06
Rice,2023-07-17,30.5,40.5,25.4,5.5,9,108.3,2023-07-26,22,361.9,2023-08-08,56,839.3,2023-09-11,87,1703.6,2023-10-12,105,1928.8,2023-10-30,143,2681.7,2023-12-07,122,2466.0,Maturity,143,2023-12-12,2023-12-22,2023-07-17
Cotton,2023-07-02,31.1,42.0,26.7,2.6,8,101.3,2023-07-10,34,411.5,2023-08-05,59,1049.9,2023-08-30,124,2355.9,2023-11-03,144,3284.9,2023-11-23,191,3586.9,2024-01-09,182,3712.0,Grain_Filling,191,2024-01-14,2024-01-24,2023-07-02
Cotton,2023-07-23,32.0,41.6,26.1,1.8,8,85.5,2023-07-31,28,439.5,2023-08-20,53,1077.2,2023-09-14,111,2042.5,2023-11-11,160,3053.3,2023-12-30,223,4063.6,2024-03-02,187,3696.0,Germination,223,2024-03-07,2024-03-17,2023-07-23
Wheat,2023-10-19,18.2,26.2,10.5,5.6,10,84.9,2023-10-29,29,348.5,2023-11-17,39,734.6,2023-11-27,84,1403.6,2024-01-11,91,1484.4,2024-01-18,136,1945.0,2024-03-03,135,1815.0,Reproductive,136,2024-03-08,2024-03-18,2023-10-19
Soybean,2023-07-19,23.6,30.7,17.5,2.1,4,109.2,2023-07-23,16,317.9,2023-08-04,37,680.5,2023-08-25,56,1250.2,2023-09-13,90,1575.2,2023-10-17,104,1925.4,2023-10-31,109,1989.0,Tillering_Elongation,104,2023-11-05,2023-11-15,2023-07-19
Soybean,2023-07-05,22.6,32.3,15.1,1.6,6,100.7,2023-07-11,24,430.3,2023-07-29,44,773.0,2023-08-18,53,1085.4,2023-08-27,87,1739.3,2023-09-30,108,2027.8,2023-10-21,110,1850.0,Germination,108,2023-10-26,2023-11-05,2023-07-05
Rice,2023-07-20,32.1,38.8,27.5,2.4,7,82.6,2023-07-27,29,384.3,2023-08-18,51,903.1,2023-09-09,91,1781.2,2023-10-19,107,2185.5,2023-11-04,131,2744.3,2023-11-28,124,2466.0,Leaf_Development,131,2023-12-03,2023-12-13,2023-07-20
Soybean,2023-06-09,24.3,33.5,19.5,2.3,5,75.3,2023-06-14,22,426.7,2023-07-01,37,781.8,2023-07-16,52,1120.7,2023-07-31,85,1520.4,2023-09-02,95,1877.4,2023-09-12,109,2112.0,Leaf_Development,95,2023-09-17,2023-09-27,2023-06-09
Sugarcane,2023-06-09,34.3,43.0,29.3,113.8,28,245.2,2023-07-07,63,1107.6,2023-08-11,150,2838.6,2023-11-06,224,3521.0,2024-01-19,258,4008.8,2024-02-22,353,5307.5,2024-05-27,339,4809.0,Tillering_Elongation,353,2024-06-01,2024-06-11,2023-06-09
Rice,2023-07-13,30.4,42.0,25.3,8.7,9,105.1,2023-07-22,29,442.9,2023-08-11,54,806.5,2023-09-05,84,1747.7,2023-10-05,116,1959.7,2023-11-06,131,2513.1,2023-11-21,152,2486.0,Reproductive,131,2023-11-26,2023-12-06,2023-07-13
Sugarcane,2023-07-01,32.6,43.4,26.9,130.2,28,224.1,2023-07-29,82,887.5,2023-09-21,133,2274.0,2023-11-11,240,3893.8,2024-02-26,299,4133.3,2024-04-25,341,5613.6,2024-06-06,360,5776.0,Leaf_Development,341,2024-06-11,2024-06-21,2023-07-01
Maize,2023-07-31,24.3,30.6,18.0,7.8,10,116.9,2023-08-10,28,407.7,2023-08-28,41,882.1,2023-09-10,76,1451.3,2023-10-15,97,1876.7,2023-11-05,130,2598.7,2023-12-08,138,2208.0,Tillering_Elongation,130,2023-12-13,2023-12-23,2023-07-31
Maize,2023-07-06,27.5,37.8,21.1,6.6,10,122.8,2023-07-16,21,438.6,2023-07-27,35,951.4,2023-08-10,77,1416.6,2023-09-21,91,1792.2,2023-10-05,120,2255.6,2023-11-03,112,2632.0,Leaf_Development,120,2023-11-08,2023-11-18,2023-07-06
Soybean,2023-06-11,22.6,31.4,15.1,3.9,7,77.0,2023-06-18,18,344.7,2023-06-29,41,794.7,2023-07-22,61,1068.2,2023-08-11,71,1430.1,2023-08-21,112,2210.3,2023-10-01,119,2108.0,Grain_Filling,112,2023-10-06,2023-10-16,2023-06-11
Rice,2023-06-17,29.9,37.5,24.5,5.7,11,108.8,2023-06-28,33,413.6,2023-07-20,48,807.9,2023-08-04,99,1609.4,2023-09-24,100,2042.4,2023-09-25,138,2582.8,2023-11-02,140,2439.0,Maturity,138,2023-11-07,2023-11-17,2023-06-17
Cotton,2023-07-04,33.6,45.0,26.4,1.5,12,117.1,2023-07-16,28,586.2,2023-08-01,71,1135.8,2023-09-13,104,2445.2,2023-10-16,157,2871.4,2023-12-08,236,3727.0,2024-02-25,206,3931.0,Germination,236,2024-03-01,2024-03-11,2023-07-04
Maize,2023-07-26,27.0,35.3,21.2,3.3,8,125.5,2023-08-03,19,431.6,2023-08-14,41,860.6,2023-09-05,65,1542.6,2023-09-29,87,1734.0,2023-10-21,108,2373.6,2023-11-11,124,2420.0,Tillering_Elongation,108,2023-11-16,2023-11-26,2023-07-26
Cotton,2023-07-09,34.6,45.4,30.5,0.9,5,107.7,2023-07-14,26,442.6,2023-08-04,76,1086.3,2023-09-23,106,2118.4,2023-10-23,143,3002.8,2023-11-29,184,4184.2,2024-01-09,181,3815.0,Grain_Filling,184,2024-01-14,2024-01-24,2023-07-09
Wheat,2023-11-11,17.9,28.1,11.9,3.9,10,65.3,2023-11-21,22,377.2,2023-12-03,35,602.7,2023-12-16,91,1369.4,2024-02-10,87,1471.9,2024-02-06,128,1972.9,2024-03-18,134,2000.0,Grain_Filling,128,2024-03-23,2024-04-02,2023-11-11
Wheat,2023-12-15,17.8,26.5,10.0,5.1,5,86.2,2023-12-20,27,356.9,2024-01-11,48,716.6,2024-02-01,83,1432.0,2024-03-07,90,1427.7,2024-03-14,118,1878.7,2024-04-11,136,2012.0,Tillering_Elongation,118,2024-04-16,2024-04-26,2023-12-15
Sugarcane,2023-06-14,33.4,41.4,25.8,153.5,25,182.1,2023-07-09,90,869.2,2023-09-12,139,2273.5,2023-10-31,254,3730.3,2024-02-23,250,4049.3,2024-02-19,311,5620.9,2024-04-20,363,5165.0,Leaf_Development,311,2024-04-25,2024-05-05,2023-06-14
Wheat,2023-12-13,16.3,25.7,8.3,4.8,7,60.1,2023-12-20,26,360.7,2024-01-08,36,699.2,2024-01-18,85,1312.8,2024-03-07,103,1695.9,2024-03-25,121,1863.3,2024-04-12,113,1922.0,Grain_Filling,121,2024-04-17,2024-04-27,2023-12-13
Maize,2023-07-05,22.6,29.4,14.8,2.8,5,124.2,2023-07-10,25,462.0,2023-07-30,44,975.5,2023-08-18,76,1457.9,2023-09-19,93,1708.5,2023-10-06,109,2405.6,2023-10-22,102,2234.0,Grain_Filling,109,2023-10-27,2023-11-06,2023-07-05
Wheat,2023-12-02,16.7,25.7,9.5,4.9,10,60.5,2023-12-12,27,368.7,2023-12-29,35,646.5,2024-01-06,88,1440.3,2024-02-28,86,1633.3,2024-02-26,120,1898.8,2024-03-31,113,2024.0,Tillering_Elongation,120,2024-04-05,2024-04-15,2023-12-02
Soybean,2023-07-17,23.1,31.8,16.2,2.8,4,72.1,2023-07-21,22,399.3,2023-08-08,38,691.6,2023-08-24,65,1225.5,2023-09-20,72,1627.7,2023-09-27,94,2037.2,2023-10-19,109,2226.0,Grain_Filling,94,2023-10-24,2023-11-03,2023-07-17
Maize,2023-07-15,27.9,35.3,22.0,6.2,8,106.2,2023-07-23,19,432.3,2023-08-03,46,889.2,2023-08-30,76,1426.7,2023-09-29,80,1782.0,2023-10-03,126,2553.8,2023-11-18,101,2665.0,Maturity,126,2023-11-23,2023-12-03,2023-07-15
Cotton,2023-06-13,32.6,38.9,26.7,2.9,11,98.3,2023-06-24,26,450.4,2023-07-09,70,1191.7,2023-08-22,118,2433.1,2023-10-09,149,2946.3,2023-11-09,238,3685.6,2024-02-06,228,3952.0,Germination,238,2024-02-11,2024-02-21,2023-06-13
Rice,2023-07-16,36.7,46.7,31.6,7.1,9,114.7,2023-07-25,32,424.2,2023-08-17,52,815.1,2023-09-06,86,1609.9,2023-10-10,115,1854.3,2023-11-08,124,2453.4,2023-11-17,124,2660.0,Leaf_Development,124,2023-11-22,2023-12-02,2023-07-16
Maize,2023-06-20,26.0,37.6,18.5,3.8,9,113.2,2023-06-29,18,493.1,2023-07-08,45,999.6,2023-08-04,80,1545.1,2023-09-08,80,1763.2,2023-09-08,126,2687.8,2023-10-24,138,2699.0,Tillering_Elongation,126,2023-10-29,2023-11-08,2023-06-20
Cotton,2023-06-26,30.3,36.5,24.8,1.9,6,103.7,2023-07-02,26,411.0,2023-07-22,55,1139.1,2023-08-20,109,2464.3,2023-10-13,175,2937.6,2023-12-18,228,3867.7,2024-02-09,197,3545.0,Tillering_Elongation,228,2024-02-14,2024-02-24,2023-06-26
Maize,2023-07-13,29.4,39.5,22.7,9.7,9,102.9,2023-07-22,28,412.5,2023-08-10,50,820.5,2023-09-01,79,1519.5,2023-09-30,87,1886.3,2023-10-08,120,2424.5,2023-11-10,137,2353.0,Leaf_Development,120,2023-11-15,2023-11-25,2023-07-13
Wheat,2023-11-25,17.9,25.0,13.5,2.7,8,61.0,2023-12-03,21,351.4,2023-12-16,50,668.5,2024-01-14,93,1416.5,2024-02-26,100,1627.0,2024-03-04,122,2060.9,2024-03-26,128,1989.0,Germination,122,2024-03-31,2024-04-10,2023-11-25
Soybean,2023-06-24,20.3,26.6,14.0,3.9,4,91.7,2023-06-28,22,389.5,2023-07-16,42,793.3,2023-08-05,60,1220.6,2023-08-23,77,1735.4,2023-09-09,94,2170.8,2023-09-26,103,2299.0,Germination,94,2023-10-01,2023-10-11,2023-06-24
Rice,2023-06-29,29.5,41.3,23.0,5.5,9,112.5,2023-07-08,24,382.2,2023-07-23,57,956.3,2023-08-25,91,1766.9,2023-09-28,114,2069.1,2023-10-21,139,2740.3,2023-11-15,144,2442.0,Germination,139,2023-11-20,2023-11-30,2023-06-29
Rice,2023-07-28,33.6,40.8,26.4,3.1,9,104.8,2023-08-06,20,441.5,2023-08-17,49,802.9,2023-09-15,83,1751.8,2023-10-19,110,2164.7,2023-11-15,134,2701.5,2023-12-09,130,2487.0,Tillering_Elongation,134,2023-12-14,2023-12-24,2023-07-28
Soybean,2023-07-04,22.6,33.9,17.8,1.5,7,106.3,2023-07-11,19,381.9,2023-07-23,41,789.1,2023-08-14,52,1156.3,2023-08-25,91,1521.5,2023-10-03,112,1967.8,2023-10-24,105,2128.0,Germination,112,2023-10-29,2023-11-08,2023-07-04
Rice,2023-06-29,29.0,37.7,22.0,2.4,8,86.7,2023-07-07,21,373.7,2023-07-20,48,870.8,2023-08-16,81,1673.2,2023-09-18,106,2070.8,2023-10-13,158,2651.5,2023-12-04,156,2439.0,Germination,158,2023-12-09,2023-12-19,2023-06-29
Soybean,2023-06-08,27.4,37.4,19.4,2.0,6,75.3,2023-06-14,17,419.8,2023-06-25,40,644.7,2023-07-18,65,1273.1,2023-08-12,76,1579.3,2023-08-23,101,1908.9,2023-09-17,92,1913.0,Leaf_Development,101,2023-09-22,2023-10-02,2023-06-08
Maize,2023-06-16,29.3,41.0,24.3,4.9,10,143.8,2023-06-26,19,491.2,2023-07-05,49,944.2,2023-08-04,69,1463.1,2023-08-24,78,1611.2,2023-09-02,138,2513.4,2023-11-01,132,2437.0,Tillering_Elongation,138,2023-11-06,2023-11-16,2023-06-16
Soybean,2023-06-15,24.5,36.0,19.8,3.5,7,78.5,2023-06-22,15,362.1,2023-06-30,34,793.1,2023-07-19,51,1025.2,2023-08-05,91,1718.0,2023-09-14,102,2294.2,2023-09-25,105,2300.0,Maturity,102,2023-09-30,2023-10-10,2023-06-15
Maize,2023-06-05,25.7,36.4,20.9,8.0,7,120.0,2023-06-12,26,463.0,2023-07-01,41,941.8,2023-07-16,68,1597.2,2023-08-12,96,1607.4,2023-09-09,130,2228.3,2023-10-13,129,2246.0,Leaf_Development,130,2023-10-18,2023-10-28,2023-06-05
Wheat,2023-11-05,17.8,29.7,12.3,4.9,10,62.8,2023-11-15,22,358.2,2023-11-27,44,799.2,2023-12-19,87,1427.0,2024-01-31,95,1529.6,2024-02-08,126,1917.1,2024-03-10,111,1991.0,Leaf_Development,126,2024-03-15,2024-03-25,2023-11-05
Wheat,2023-10-16,17.5,24.4,11.0,5.4,7,94.9,2023-10-23,30,345.0,2023-11-15,46,747.2,2023-12-01,81,1424.4,2024-01-05,93,1448.8,2024-01-17,117,1857.7,2024-02-10,129,1805.0,Tillering_Elongation,117,2024-02-15,2024-02-25,2023-10-16
Rice,2023-07-08,24.8,33.9,20.7,5.6,9,85.8,2023-07-17,34,423.2,2023-08-11,46,996.5,2023-08-23,91,1717.7,2023-10-07,104,1940.7,2023-10-20,124,2651.2,2023-11-09,158,2699.0,Grain_Filling,124,2023-11-14,2023-11-24,2023-07-08
Rice,2023-07-06,34.8,41.1,28.0,6.5,5,108.1,2023-07-11,20,398.0,2023-07-26,41,826.1,2023-08-16,93,1783.4,2023-10-07,104,2161.8,2023-10-18,146,2687.5,2023-11-29,149,2765.0,Germination,146,2023-12-04,2023-12-14,2023-07-06
Maize,2023-06-15,26.6,38.3,20.4,7.8,6,144.9,2023-06-21,22,493.0,2023-07-07,39,889.4,2023-07-24,68,1460.5,2023-08-22,76,1665.8,2023-08-30,133,2626.6,2023-10-26,134,2519.0,Maturity,133,2023-10-31,2023-11-10,2023-06-15
Wheat,2023-11-21,17.3,28.5,11.9,3.4,5,77.2,2023-11-26,24,317.5,2023-12-15,43,792.9,2024-01-03,84,1443.5,2024-02-13,102,1691.9,2024-03-02,118,1830.1,2024-03-18,126,2014.0,Tillering_Elongation,118,2024-03-23,2024-04-02,2023-11-21
Maize,2023-06-15,32.2,42.0,28.1,2.9,6,101.0,2023-06-21,20,410.4,2023-07-05,41,867.7,2023-07-26,78,1599.6,2023-09-01,77,1763.2,2023-08-31,124,2525.1,2023-10-17,130,2317.0,Maturity,124,2023-10-22,2023-11-01,2023-06-15
Wheat,2023-10-15,17.9,28.5,10.6,5.9,8,65.6,2023-10-23,20,348.4,2023-11-04,42,781.6,2023-11-26,82,1368.3,2024-01-05,96,1647.7,2024-01-19,123,1865.1,2024-02-15,130,2053.0,Germination,123,2024-02-20,2024-03-01,2023-10-15
Sugarcane,2023-06-05,24.6,36.4,19.5,98.4,29,246.0,2023-07-04,84,1001.1,2023-08-28,160,2014.0,2023-11-12,201,3514.4,2023-12-23,270,4665.9,2024-03-01,351,5012.5,2024-05-21,345,4525.0,Grain_Filling,351,2024-05-26,2024-06-05,2023-06-05
Rice,2023-07-16,33.3,42.3,26.2,3.5,5,112.8,2023-07-21,32,367.2,2023-08-17,55,842.6,2023-09-09,98,1631.4,2023-10-22,99,2057.2,2023-10-23,158,2634.0,2023-12-21,125,2529.0,Tillering_Elongation,158,2023-12-26,2024-01-05,2023-07-16
Cotton,2023-07-11,37.2,48.4,31.1,1.1,8,83.6,2023-07-19,34,459.4,2023-08-14,63,1256.8,2023-09-12,129,2458.8,2023-11-17,148,2931.3,2023-12-06,202,3571.3,2024-01-29,199,3882.0,Tillering_Elongation,202,2024-02-03,2024-02-13,2023-07-11
Sugarcane,2023-06-04,30.0,36.6,24.9,146.6,16,230.2,2023-06-20,85,1146.6,2023-08-28,174,2044.5,2023-11-25,228,3927.5,2024-01-18,263,4758.9,2024-02-22,332,5372.0,2024-05-01,340,5645.0,Germination,332,2024-05-06,2024-05-16,2023-06-04
Wheat,2023-10-29,22.0,32.8,16.7,3.8,6,93.9,2023-11-04,25,358.8,2023-11-23,45,714.6,2023-12-13,87,1481.7,2024-01-24,104,1545.9,2024-02-10,119,1967.2,2024-02-25,127,1947.0,Tillering_Elongation,119,2024-03-01,2024-03-11,2023-10-29
Soybean,2023-06-05,26.0,34.7,21.2,2.5,7,91.8,2023-06-12,19,344.8,2023-06-24,33,793.1,2023-07-08,58,1083.4,2023-08-02,89,1599.0,2023-09-02,98,2165.5,2023-09-11,96,1962.0,Tillering_Elongation,98,2023-09-16,2023-09-26,2023-06-05
Maize,2023-07-28,27.5,39.0,21.2,11.0,10,134.2,2023-08-07,25,482.1,2023-08-22,47,837.8,2023-09-13,76,1425.3,2023-10-12,78,1807.7,2023-10-14,123,2241.0,2023-11-28,125,2609.0,Germination,123,2023-12-03,2023-12-13,2023-07-28
Wheat,2023-10-17,16.2,23.0,8.6,4.0,8,99.6,2023-10-25,25,372.9,2023-11-11,39,610.4,2023-11-25,90,1322.0,2024-01-15,101,1699.8,2024-01-26,113,2036.0,2024-02-07,118,1998.0,Tillering_Elongation,113,2024-02-12,2024-02-22,2023-10-17
Wheat,2023-12-09,16.7,22.8,12.2,2.3,7,64.5,2023-12-16,30,380.2,2024-01-08,36,694.3,2024-01-14,92,1321.7,2024-03-10,102,1435.4,2024-03-20,127,1850.4,2024-04-14,113,2010.0,Germination,127,2024-04-19,2024-04-29,2023-12-09
Sugarcane,2023-06-22,31.1,40.4,26.9,63.8,19,153.2,2023-07-11,74,1098.3,2023-09-04,141,2136.1,2023-11-10,249,3993.5,2024-02-26,318,4729.9,2024-05-05,308,4882.0,2024-04-25,355,4781.0,Grain_Filling,308,2024-04-30,2024-05-10,2023-06-22
Rice,2023-06-05,26.2,37.3,20.2,3.4,8,115.3,2023-06-13,21,369.8,2023-06-26,56,944.6,2023-07-31,93,1699.8,2023-09-06,111,1808.8,2023-09-24,125,2406.3,2023-10-08,141,2404.0,Leaf_Development,125,2023-10-13,2023-10-23,2023-06-05
Rice,2023-07-03,27.9,35.1,19.9,7.5,5,86.2,2023-07-08,31,442.1,2023-08-03,47,841.9,2023-08-19,100,1740.7,2023-10-11,116,2168.0,2023-10-27,148,2505.1,2023-11-28,134,2677.0,Maturity,148,2023-12-03,2023-12-13,2023-07-03
Wheat,2023-10-30,14.0,22.4,8.6,5.8,6,70.7,2023-11-05,21,315.1,2023-11-20,42,672.3,2023-12-11,93,1338.1,2024-01-31,98,1513.8,2024-02-05,115,1852.9,2024-02-22,114,1831.0,Germination,115,2024-02-27,2024-03-08,2023-10-30
Maize,2023-06-18,30.8,40.1,26.1,4.5,7,117.7,2023-06-25,24,439.1,2023-07-12,48,984.0,2023-08-05,78,1444.2,2023-09-04,90,1896.2,2023-09-16,140,2407.6,2023-11-05,119,2280.0,Reproductive,140,2023-11-10,2023-11-20,2023-06-18
Rice,2023-07-13,29.7,37.7,25.2,2.3,9,104.8,2023-07-22,33,417.3,2023-08-15,49,843.1,2023-08-31,82,1694.6,2023-10-03,112,1876.2,2023-11-02,121,2737.0,2023-11-11,123,2620.0,Tillering_Elongation,121,2023-11-16,2023-11-26,2023-07-13
Wheat,2023-11-15,19.1,27.2,11.4,2.4,8,93.4,2023-11-23,24,365.3,2023-12-09,35,724.4,2023-12-20,91,1468.7,2024-02-14,97,1562.4,2024-02-20,136,1968.8,2024-03-30,111,1936.0,Maturity,136,2024-04-04,2024-04-14,2023-11-15
Maize,2023-06-14,31.6,40.3,27.0,6.9,10,135.9,2023-06-24,26,486.8,2023-07-10,48,858.8,2023-08-01,61,1416.7,2023-08-14,85,1724.6,2023-09-07,138,2551.6,2023-10-30,134,2682.0,Maturity,138,2023-11-04,2023-11-14,2023-06-14
Maize,2023-07-05,28.4,34.5,22.9,6.5,10,118.1,2023-07-15,26,467.1,2023-07-31,35,868.4,2023-08-09,80,1544.7,2023-09-23,79,1725.8,2023-09-22,112,2214.6,2023-10-25,114,2604.0,Maturity,112,2023-10-30,2023-11-09,2023-07-05
Maize,2023-06-09,31.7,43.0,26.8,8.0,9,126.9,2023-06-18,24,424.3,2023-07-03,35,825.1,2023-07-14,63,1438.0,2023-08-11,86,1960.1,2023-09-03,112,2323.7,2023-09-29,124,2559.0,Reproductive,112,2023-10-04,2023-10-14,2023-06-09
Soybean,2023-07-17,25.6,34.1,18.8,2.0,7,70.3,2023-07-24,25,301.5,2023-08-11,39,713.8,2023-08-25,57,1134.0,2023-09-12,71,1782.0,2023-09-26,112,2272.5,2023-11-06,115,2155.0,Reproductive,112,2023-11-11,2023-11-21,2023-07-17
Wheat,2023-12-13,22.0,30.1,17.3,2.4,9,96.6,2023-12-22,27,333.8,2024-01-09,48,721.3,2024-01-30,92,1341.9,2024-03-14,97,1615.4,2024-03-19,125,2048.3,2024-04-16,124,1818.0,Grain_Filling,125,2024-04-21,2024-05-01,2023-12-13
Maize,2023-07-27,23.3,30.8,17.5,5.2,9,149.6,2023-08-05,23,483.3,2023-08-19,35,817.6,2023-08-31,60,1545.5,2023-09-25,84,1877.4,2023-10-19,126,2421.5,2023-11-30,137,2454.0,Leaf_Development,126,2023-12-05,2023-12-15,2023-07-27
Maize,2023-07-07,29.5,41.3,22.9,6.7,5,125.6,2023-07-12,24,474.8,2023-07-31,43,879.2,2023-08-19,75,1462.2,2023-09-20,99,1754.2,2023-10-14,114,2567.6,2023-10-29,107,2357.0,Tillering_Elongation,114,2023-11-03,2023-11-13,2023-07-07
Rice,2023-07-07,31.7,41.2,27.3,4.4,12,110.7,2023-07-19,23,399.3,2023-07-30,50,944.3,2023-08-26,91,1650.4,2023-10-06,100,1830.2,2023-10-15,124,2624.9,2023-11-08,124,2779.0,Grain_Filling,124,2023-11-13,2023-11-23,2023-07-07
Maize,2023-07-01,27.4,36.6,19.5,4.9,8,114.4,2023-07-09,24,484.1,2023-07-25,40,818.9,2023-08-10,73,1464.1,2023-09-12,96,1840.2,2023-10-05,102,2507.7,2023-10-11,139,2415.0,Germination,102,2023-10-16,2023-10-26,2023-07-01
Wheat,2023-10-30,17.2,28.9,12.1,5.1,7,94.1,2023-11-06,30,307.1,2023-11-29,49,789.3,2023-12-18,89,1431.6,2024-01-27,90,1534.7,2024-01-28,139,2090.7,2024-03-17,129,2011.0,Germination,139,2024-03-22,2024-04-01,2023-10-30
Rice,2023-07-21,30.7,39.6,24.2,5.2,12,84.5,2023-08-02,35,445.1,2023-08-25,56,967.3,2023-09-15,92,1655.4,2023-10-21,108,1919.6,2023-11-06,155,2495.3,2023-12-23,138,2788.0,Germination,155,2023-12-28,2024-01-07,2023-07-21
Rice,2023-07-01,28.2,39.9,21.7,1.7,8,80.4,2023-07-09,23,415.8,2023-07-24,52,954.3,2023-08-22,89,1770.9,2023-09-28,118,2169.3,2023-10-27,131,2713.1,2023-11-09,126,2590.0,Grain_Filling,131,2023-11-14,2023-11-24,2023-07-01
Wheat,2023-12-05,17.6,24.9,10.5,3.7,9,96.3,2023-12-14,22,302.5,2023-12-27,42,616.0,2024-01-16,81,1468.3,2024-02-24,95,1469.8,2024-03-09,138,2077.9,2024-04-21,125,2003.0,Tillering_Elongation,138,2024-04-26,2024-05-06,2023-12-05
Cotton,2023-06-27,34.4,43.2,28.0,1.6,9,102.4,2023-07-06,31,453.7,2023-07-28,50,1293.8,2023-08-16,118,2279.6,2023-10-23,149,2920.3,2023-11-23,212,3809.4,2024-01-25,237,4179.0,Germination,212,2024-01-30,2024-02-09,2023-06-27
Rice,2023-06-13,29.8,36.1,22.8,6.6,9,103.7,2023-06-22,26,368.4,2023-07-09,43,935.3,2023-07-26,99,1671.2,2023-09-20,116,1846.7,2023-10-07,144,2554.6,2023-11-04,156,2753.0,Germination,144,2023-11-09,2023-11-19,2023-06-13
Rice,2023-06-07,35.1,41.6,28.3,2.1,12,95.0,2023-06-19,28,406.9,2023-07-05,41,932.4,2023-07-18,89,1747.9,2023-09-04,108,2067.7,2023-09-23,132,2535.9,2023-10-17,135,2424.0,Tillering_Elongation,132,2023-10-22,2023-11-01,2023-06-07
Wheat,2023-10-21,18.4,27.2,12.8,6.0,9,70.1,2023-10-30,27,390.2,2023-11-17,43,706.7,2023-12-03,95,1488.9,2024-01-24,86,1642.1,2024-01-15,120,1835.0,2024-02-18,140,1835.0,Reproductive,120,2024-02-23,2024-03-04,2023-10-21
Wheat,2023-11-26,21.7,32.2,16.7,5.0,5,81.2,2023-12-01,29,320.0,2023-12-25,42,640.2,2024-01-07,92,1322.6,2024-02-26,87,1595.6,2024-02-21,137,1962.2,2024-04-11,115,2002.0,Maturity,137,2024-04-16,2024-04-26,2023-11-26
Cotton,2023-06-28,31.9,38.7,25.2,1.5,5,82.8,2023-07-03,31,581.4,2023-07-29,59,1076.8,2023-08-26,105,2224.9,2023-10-11,170,2913.4,2023-12-15,235,3988.2,2024-02-18,197,4164.0,Reproductive,235,2024-02-23,2024-03-04,2023-06-28
