Crop_Type,Soil_Type,Field_Size,Sowing_Date,Sowing_Day_of_Year,Sowing_Month,District,Latitude,Longitude,Avg_Temp,Tmax,Tmin,Rainfall,Cumulative_Rainfall,Relative_Humidity,WindSpeed,Solar_Radiation,Growing_Degree_Days,Season,Avg_Yield_Last_3Years,Max_Yield_Last_3Years,Min_Yield_Last_3Years,Season_Length,Irrigation_Frequency,Soil_Organic_Matter,Soil_pH,NDVI,Evapotranspiration_ET0,Actual_Yield,Soil_Sand_Percent,Soil_Clay_Percent,Soil_Silt_Percent,Elevation,Fertilizer_NPK,Crop_Cotton,Crop_Maize,Crop_Rice,Crop_Soybean,Crop_Sugarcane,Crop_Wheat,Soil_Alluvial,Soil_Black,Soil_Laterite,Soil_Loamy,Soil_Red,Soil_Sandy,Season_Kharif,Season_Rabi,District_Andhra Pradesh,District_Bihar,District_Gujarat,District_Haryana,District_Karnataka,District_Madhya Pradesh,District_Maharashtra,District_Punjab,District_Rajasthan,District_Tamil Nadu,District_Uttar Pradesh,District_West Bengal
Wheat,Black,0.47,2023-10-18,291,10,Haryana,29.0588,76.0856,21.8,25.4,17.5,266.6,266.6,57.6,4.0,19.1,2550.8,Rabi,4.42,5.52,3.96,145,8,2.84,8.13,0.719,163.12,3.16,39.4,31.7,28.9,543,Low,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Sugarcane,Alluvial,3.72,2023-07-22,203,7,Uttar Pradesh,26.8467,80.9462,29.9,38.7,22.0,1619.6,1619.6,80.3,8.5,22.9,1886.7,Kharif,90.3,109.05,54.71,154,8,2.42,6.84,0.9,275.05,64.81,56.5,33.6,9.9,332,High,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Wheat,Alluvial,1.82,2023-11-21,325,11,Haryana,29.0588,76.0856,22.7,34.4,12.8,619.0,619.0,44.1,11.6,20.7,2634.4,Rabi,5.23,7.11,4.56,141,8,2.97,7.8,0.829,219.75,3.79,59.8,18.5,21.7,543,Medium,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Maize,Red,1.67,2023-07-07,188,7,Karnataka,15.3173,75.7139,26.6,33.9,24.1,1130.0,1130.0,73.9,5.4,24.5,2820.2,Kharif,6.27,7.32,3.78,175,10,1.56,6.33,0.9,327.41,3.27,57.9,26.4,15.7,332,Medium,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Wheat,Alluvial,8.67,2023-10-06,279,10,West Bengal,22.9868,87.855,23.7,31.1,19.5,209.4,209.4,53.6,8.8,15.6,2511.1,Rabi,5.62,7.68,3.68,124,17,3.49,7.1,0.866,168.37,2.68,50.9,18.1,31.0,332,Medium,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
Soybean,Black,1.12,2023-06-01,152,6,Madhya Pradesh,22.9734,78.6569,22.1,30.2,15.8,1294.2,1294.2,84.0,2.9,18.2,1168.7,Kharif,2.0,2.7,1.4,101,9,3.62,7.99,0.9,191.35,1.72,24.5,54.5,21.0,332,Medium,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Soybean,Black,1.67,2023-06-12,163,6,Madhya Pradesh,22.9734,78.6569,27.4,33.3,23.3,872.0,872.0,82.4,6.4,19.8,2720.6,Kharif,2.97,4.14,2.42,154,9,2.49,6.6,0.9,219.4,3.69,30.7,36.7,32.5,332,High,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Maize,Loamy,1.78,2023-07-29,210,7,Karnataka,15.3173,75.7139,29.3,38.4,27.3,926.3,926.3,72.1,6.0,20.3,2600.3,Kharif,4.84,5.85,3.54,135,8,3.14,7.44,0.9,282.21,3.92,51.9,31.6,16.5,332,High,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Rice,Black,2.87,2023-06-24,175,6,Bihar,25.0961,85.3131,32.3,37.6,27.1,2415.3,2415.3,80.8,10.2,23.6,3317.4,Kharif,5.05,6.45,3.38,151,9,3.31,7.82,0.9,329.24,3.95,37.5,32.7,29.7,332,High,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Sugarcane,Alluvial,1.96,2023-06-21,172,6,Tamil Nadu,11.1271,78.6569,35.6,45.9,28.3,1463.2,1463.2,78.2,7.9,22.8,1702.1,Kharif,123.16,170.65,87.06,98,3,2.52,7.8,0.9,396.66,55.95,38.0,17.6,44.4,332,Low,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Wheat,Black,0.82,2023-10-12,285,10,West Bengal,22.9868,87.855,22.6,28.2,18.6,251.1,251.1,56.9,2.0,16.5,1798.8,Rabi,5.13,5.68,4.1,94,11,3.83,7.15,0.754,159.72,5.08,39.1,56.7,4.2,332,High,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
Soybean,Sandy,0.34,2023-07-23,204,7,Rajasthan,27.0238,74.2179,23.9,29.4,16.7,1262.2,1262.2,79.7,7.1,16.8,1879.9,Kharif,1.95,2.51,1.28,134,21,1.62,7.1,0.9,154.48,1.14,82.9,13.1,4.0,332,Low,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Maize,Alluvial,1.79,2023-07-31,212,7,Bihar,25.0961,85.3131,29.6,36.6,26.9,724.2,724.2,78.1,4.7,23.1,1918.0,Kharif,6.76,7.46,4.09,98,2,1.75,7.84,0.856,264.83,6.36,49.7,26.0,24.3,332,Low,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Soybean,Red,1.58,2023-07-29,210,7,Maharashtra,19.7515,75.7139,25.3,33.6,18.2,766.1,766.1,87.5,10.3,22.4,2018.7,Kharif,2.04,2.45,1.78,128,9,2.3,6.49,0.833,232.54,2.95,51.7,21.1,27.1,332,High,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Soybean,Black,1.69,2023-06-10,161,6,Madhya Pradesh,22.9734,78.6569,22.9,28.8,20.9,1147.9,1147.9,81.6,9.1,15.2,1862.1,Kharif,1.95,2.6,1.56,144,11,2.29,8.36,0.9,152.35,1.82,25.2,41.2,33.6,332,Low,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Rice,Black,1.28,2023-06-11,162,6,Haryana,29.0588,76.0856,29.3,45.3,22.7,1050.1,1050.1,71.0,7.2,24.4,3171.1,Kharif,5.06,6.28,3.14,165,21,3.08,6.52,0.9,348.36,5.24,29.9,51.7,18.4,543,Low,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Rice,Black,1.92,2023-06-16,167,6,Uttar Pradesh,26.8467,80.9462,24.9,31.7,20.9,1479.3,1479.3,81.6,2.0,18.7,2601.4,Kharif,4.69,5.41,2.9,178,11,3.55,7.84,0.9,238.42,4.2,24.4,32.4,43.2,332,Low,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Maize,Alluvial,1.37,2023-06-04,155,6,Bihar,25.0961,85.3131,29.9,34.2,26.0,865.4,865.4,80.4,8.9,22.6,2796.4,Kharif,7.33,8.6,4.52,142,8,1.87,6.46,0.9,240.08,7.08,50.5,16.5,33.0,332,High,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Sugarcane,Alluvial,1.89,2023-07-02,183,7,Tamil Nadu,11.1271,78.6569,32.2,40.1,26.9,1222.5,1222.5,77.3,2.3,20.1,2262.8,Kharif,79.23,103.12,67.86,162,6,2.45,6.42,0.887,329.17,130.03,55.5,24.9,19.6,332,Medium,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Maize,Alluvial,0.93,2023-07-21,202,7,Uttar Pradesh,26.8467,80.9462,26.1,32.2,19.6,1109.3,1109.3,75.7,9.6,16.6,2244.2,Kharif,5.21,7.06,3.19,144,8,2.01,6.31,0.9,194.09,8.46,44.4,26.8,28.7,332,Medium,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Sugarcane,Alluvial,1.81,2023-07-22,203,7,Maharashtra,19.7515,75.7139,31.8,40.9,27.6,1906.8,1906.8,74.6,8.8,24.2,1967.8,Kharif,101.35,116.97,86.38,143,9,3.19,6.07,0.9,342.61,96.16,54.7,22.0,23.3,332,Low,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Maize,Alluvial,0.84,2023-06-05,156,6,Karnataka,15.3173,75.7139,27.4,34.7,23.3,847.5,847.5,85.5,9.6,17.4,2453.5,Kharif,6.54,7.68,4.73,140,7,2.45,6.92,0.9,245.13,6.47,50.3,26.3,23.3,332,High,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Cotton,Black,2.47,2023-07-28,209,7,Gujarat,22.2587,71.1924,32.3,46.4,24.8,1241.6,1241.6,74.5,2.9,20.0,3115.2,Kharif,1.78,2.13,1.55,178,12,2.9,7.36,0.9,251.52,2.46,37.6,38.0,24.4,332,High,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
Maize,Alluvial,2.04,2023-07-12,193,7,Uttar Pradesh,26.8467,80.9462,18.9,27.9,16.5,857.1,857.1,80.7,4.8,15.7,1381.1,Kharif,6.84,8.03,4.91,151,7,3.03,6.24,0.889,126.88,3.54,53.9,28.2,17.9,332,Medium,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Cotton,Black,4.78,2023-06-13,164,6,Gujarat,22.2587,71.1924,28.2,35.0,21.2,949.1,949.1,72.8,8.2,15.7,2245.6,Kharif,2.14,2.78,1.77,171,19,3.01,8.04,0.848,205.1,1.34,37.3,55.5,7.1,332,Medium,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
Soybean,Red,1.1,2023-06-20,171,6,Rajasthan,27.0238,74.2179,28.4,41.7,15.6,821.0,821.0,77.9,11.9,19.8,1697.9,Kharif,2.03,2.48,1.38,93,8,2.1,5.96,0.811,245.54,1.14,64.2,27.6,8.3,332,Low,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Rice,Red,2.03,2023-06-01,152,6,West Bengal,22.9868,87.855,25.9,32.9,23.1,1339.3,1339.3,74.6,8.7,18.2,1650.5,Kharif,3.48,4.46,3.12,106,2,2.04,6.82,0.9,239.34,2.68,63.9,25.2,10.8,332,High,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Maize,Black,1.03,2023-06-11,162,6,Uttar Pradesh,26.8467,80.9462,25.3,32.3,20.8,769.8,769.8,86.0,7.4,24.0,2713.4,Kharif,6.66,8.21,5.61,174,6,3.58,8.35,0.9,214.9,5.12,35.1,48.6,16.4,332,Medium,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Rice,Alluvial,3.22,2023-06-26,177,6,West Bengal,22.9868,87.855,31.7,41.3,25.3,2295.3,2295.3,81.3,6.9,19.6,1951.3,Kharif,5.32,7.02,3.39,90,3,2.63,6.24,0.9,221.28,4.43,34.8,32.6,32.6,332,High,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Sugarcane,Alluvial,0.58,2023-06-25,176,6,Karnataka,15.3173,75.7139,25.9,30.4,18.8,1898.8,1898.8,84.7,6.3,22.9,1353.2,Kharif,93.25,110.4,78.16,177,11,2.19,6.31,0.9,225.05,54.46,56.2,15.6,28.3,332,Medium,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Cotton,Black,3.31,2023-06-17,168,6,Andhra Pradesh,15.9129,79.74,20.0,27.3,13.9,1428.1,1428.1,87.6,3.2,23.5,479.0,Kharif,2.16,2.52,1.83,94,4,3.48,7.3,0.9,194.16,1.79,22.6,54.8,22.6,332,High,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Maize,Red,3.05,2023-06-10,161,6,Andhra Pradesh,15.9129,79.74,26.5,35.3,22.3,719.6,719.6,80.6,8.3,22.3,2003.0,Kharif,5.01,6.56,3.35,121,7,2.21,5.62,0.9,209.84,4.44,56.7,26.2,17.1,332,High,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Sugarcane,Alluvial,0.95,2023-07-22,203,7,Uttar Pradesh,26.8467,80.9462,26.8,36.2,24.2,1564.9,1564.9,74.7,9.3,18.1,1208.0,Kharif,94.28,111.12,69.17,139,7,1.78,7.12,0.9,186.67,106.98,34.8,31.4,33.8,332,Medium,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Soybean,Black,2.42,2023-07-23,204,7,Madhya Pradesh,22.9734,78.6569,18.9,26.8,11.9,1359.6,1359.6,80.5,3.1,18.5,1562.5,Kharif,1.95,2.72,1.64,177,6,3.09,8.06,0.9,131.6,1.52,30.1,55.0,14.9,332,High,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Soybean,Red,0.62,2023-06-16,167,6,Rajasthan,27.0238,74.2179,26.8,38.7,18.2,1039.9,1039.9,72.2,3.3,16.2,1873.1,Kharif,1.71,2.07,1.25,110,18,2.13,6.09,0.9,161.31,1.83,50.1,19.3,30.6,332,Medium,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Rice,Alluvial,0.49,2023-07-28,209,7,West Bengal,22.9868,87.855,29.9,37.9,24.2,2166.8,2166.8,89.2,11.9,17.9,3436.4,Kharif,4.38,5.87,3.34,175,7,2.31,6.55,0.9,216.85,4.63,48.5,34.6,16.9,332,Low,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Soybean,Laterite,3.78,2023-06-12,163,6,Rajasthan,27.0238,74.2179,36.2,49.8,30.6,1346.4,1346.4,78.8,6.9,21.8,4619.6,Kharif,1.78,2.08,1.25,175,17,1.17,4.55,0.9,302.46,2.17,52.6,25.2,22.2,332,Medium,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Wheat,Laterite,1.98,2023-10-06,279,10,Haryana,29.0588,76.0856,22.8,33.4,16.3,408.5,408.5,41.3,10.8,16.0,3311.2,Rabi,2.84,3.29,1.75,177,9,0.97,6.44,0.789,183.02,3.79,52.7,30.8,16.5,543,High,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Cotton,Black,2.55,2023-06-17,168,6,Gujarat,22.2587,71.1924,30.3,37.0,22.3,1440.2,1440.2,80.1,10.8,17.2,2365.4,Kharif,1.55,2.17,1.34,155,18,3.22,7.64,0.9,172.25,1.09,22.1,53.4,24.5,332,Medium,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
Sugarcane,Alluvial,5.41,2023-06-26,177,6,Uttar Pradesh,26.8467,80.9462,32.3,41.2,26.0,1750.4,1750.4,89.5,8.0,15.1,2231.9,Kharif,119.74,153.23,92.83,156,10,2.41,7.83,0.9,229.04,80.84,52.8,25.8,21.3,332,Low,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Maize,Alluvial,0.56,2023-07-10,191,7,Uttar Pradesh,26.8467,80.9462,29.3,37.4,26.7,764.7,764.7,73.7,11.6,22.0,2159.9,Kharif,7.26,9.26,6.3,111,4,3.45,7.04,0.85,286.8,6.58,58.9,21.8,19.3,332,Medium,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Cotton,Sandy,3.72,2023-07-08,189,7,Maharashtra,19.7515,75.7139,28.6,36.6,23.2,1493.2,1493.2,80.1,3.4,19.3,1854.4,Kharif,1.43,1.91,0.94,138,3,1.25,6.96,0.9,218.52,1.28,79.5,14.3,6.2,332,Medium,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Rice,Alluvial,0.44,2023-07-26,207,7,Punjab,30.7333,76.7794,25.1,32.6,20.8,1668.5,1668.5,80.2,2.4,24.5,1400.7,Kharif,5.21,7.03,3.53,92,3,3.01,6.46,0.9,245.44,3.68,33.1,33.7,33.2,543,Medium,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
Maize,Red,1.87,2023-07-02,183,7,Uttar Pradesh,26.8467,80.9462,27.7,30.7,25.7,979.6,979.6,74.9,8.9,15.3,2368.8,Kharif,4.52,6.31,3.97,132,2,1.64,6.22,0.829,160.41,5.19,63.8,16.0,20.2,332,Medium,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Cotton,Black,1.45,2023-07-10,191,7,Maharashtra,19.7515,75.7139,25.6,34.6,19.8,1131.5,1131.5,83.2,10.8,23.8,1957.1,Kharif,1.58,2.05,1.05,175,7,2.77,7.54,0.9,221.43,2.08,34.2,39.0,26.8,332,High,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Sugarcane,Alluvial,1.62,2023-07-27,208,7,Tamil Nadu,11.1271,78.6569,24.0,35.7,19.8,1538.3,1538.3,87.5,11.9,24.6,615.5,Kharif,101.39,131.05,82.62,98,9,1.61,6.23,0.9,249.59,69.19,32.0,26.6,41.3,332,Low,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Wheat,Black,4.62,2023-11-27,331,11,Punjab,30.7333,76.7794,11.7,21.3,3.9,468.6,468.6,66.9,7.7,15.5,1346.9,Rabi,5.0,5.66,4.44,172,14,2.17,7.13,0.794,92.73,4.57,32.4,40.4,27.2,543,Medium,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Maize,Laterite,2.54,2023-07-25,206,7,Bihar,25.0961,85.3131,20.2,26.6,13.8,625.6,625.6,74.5,6.3,17.1,1353.1,Kharif,3.67,5.03,2.25,133,11,1.23,5.42,0.818,116.15,3.04,40.9,37.4,21.7,332,Low,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Rice,Alluvial,1.05,2023-07-18,199,7,Haryana,29.0588,76.0856,28.8,43.2,23.0,2099.9,2099.9,77.3,10.8,23.7,2328.3,Kharif,4.42,5.33,2.84,123,10,1.63,7.58,0.9,282.82,3.31,59.2,34.4,6.4,543,Low,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Maize,Red,1.47,2023-06-06,157,6,Bihar,25.0961,85.3131,24.1,31.6,19.5,963.3,963.3,87.1,11.0,21.4,2422.7,Kharif,4.36,5.61,3.8,168,9,2.12,5.64,0.894,217.28,3.2,65.0,17.0,18.1,332,High,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Wheat,Black,4.07,2023-11-25,329,11,West Bengal,22.9868,87.855,25.1,31.4,20.3,503.0,503.0,68.7,6.8,21.2,2506.6,Rabi,3.75,4.98,3.28,117,10,2.62,7.16,0.749,230.95,3.17,20.5,52.7,26.8,332,High,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
Rice,Loamy,2.3,2023-07-03,184,7,Bihar,25.0961,85.3131,23.0,30.7,21.0,1288.7,1288.7,78.4,10.6,21.9,1340.9,Kharif,4.7,5.87,2.97,104,2,2.66,6.16,0.9,222.48,3.6,40.4,26.5,33.1,332,Medium,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Soybean,Black,1.46,2023-07-24,205,7,Rajasthan,27.0238,74.2179,27.2,40.5,19.2,770.7,770.7,78.1,7.1,21.7,2070.4,Kharif,2.86,3.39,2.2,121,17,2.85,7.2,0.9,219.47,1.15,35.4,44.7,19.9,332,High,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Rice,Alluvial,1.45,2023-07-16,197,7,West Bengal,22.9868,87.855,27.7,37.8,22.7,1359.2,1359.2,85.7,9.1,16.1,1810.4,Kharif,4.05,5.63,2.71,102,7,1.79,7.54,0.9,218.07,2.99,50.5,23.9,25.6,332,High,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Maize,Red,1.31,2023-06-08,159,6,Uttar Pradesh,26.8467,80.9462,23.2,25.2,17.0,908.6,908.6,89.3,4.1,23.9,1635.7,Kharif,6.44,7.42,5.42,124,11,1.03,5.64,0.735,233.59,4.6,55.5,30.0,14.6,332,High,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Wheat,Black,0.8,2023-10-12,285,10,Uttar Pradesh,26.8467,80.9462,20.7,25.1,14.6,567.8,567.8,59.9,11.4,22.8,1644.1,Rabi,4.97,6.82,4.04,103,18,3.09,6.77,0.802,183.23,5.6,29.0,42.8,28.2,332,Low,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Cotton,Red,1.91,2023-07-18,199,7,Andhra Pradesh,15.9129,79.74,26.4,34.1,22.9,1225.9,1225.9,71.1,7.6,24.2,2096.8,Kharif,1.43,1.9,1.2,178,7,1.59,6.05,0.9,236.47,1.94,53.3,26.9,19.8,332,High,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Rice,Alluvial,6.66,2023-06-11,162,6,Uttar Pradesh,26.8467,80.9462,25.4,33.8,18.6,2470.0,2470.0,82.1,5.1,16.3,2545.0,Kharif,5.79,7.84,4.91,165,6,2.95,6.28,0.9,175.24,5.6,50.8,19.4,29.8,332,Medium,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Wheat,Alluvial,0.71,2023-10-18,291,10,Haryana,29.0588,76.0856,23.5,31.9,15.5,583.9,583.9,59.9,4.6,24.2,1870.6,Rabi,4.69,6.24,4.16,94,24,1.78,6.45,0.726,240.05,4.79,32.5,28.6,38.9,543,Medium,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Soybean,Black,0.88,2023-06-09,160,6,Madhya Pradesh,22.9734,78.6569,26.9,36.9,22.0,955.2,955.2,77.4,4.8,24.6,2393.7,Kharif,2.8,3.17,2.47,142,2,2.63,7.75,0.836,343.2,2.16,25.5,49.6,24.9,332,Low,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Soybean,Red,0.42,2023-07-16,197,7,Madhya Pradesh,22.9734,78.6569,25.7,32.8,16.1,1077.6,1077.6,73.6,2.2,19.5,2362.0,Kharif,1.88,2.54,1.23,153,11,1.49,5.51,0.9,211.4,2.24,69.0,17.3,13.7,332,Medium,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Sugarcane,Black,0.74,2023-07-25,206,7,Karnataka,15.3173,75.7139,30.4,40.2,27.1,1586.3,1586.3,77.7,2.7,24.8,2224.9,Kharif,88.05,99.42,56.96,173,7,2.48,6.78,0.9,273.63,58.58,38.9,43.0,18.2,332,Low,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Maize,Red,0.78,2023-07-04,185,7,Andhra Pradesh,15.9129,79.74,19.7,27.7,13.7,720.0,720.0,72.7,2.7,15.7,1259.8,Kharif,6.32,7.65,3.95,128,10,2.45,5.76,0.894,119.09,5.12,58.4,24.6,17.0,332,Low,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Cotton,Black,3.46,2023-07-13,194,7,Maharashtra,19.7515,75.7139,27.8,37.6,22.2,861.3,861.3,85.3,4.5,22.5,1782.5,Kharif,1.92,2.68,1.47,138,3,3.84,7.43,0.9,244.76,2.65,25.5,41.9,32.6,332,Medium,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Maize,Red,1.63,2023-07-01,182,7,Bihar,25.0961,85.3131,23.8,34.4,20.3,660.9,660.9,76.1,8.0,16.8,1891.7,Kharif,4.59,5.82,3.97,136,8,1.09,6.59,0.704,172.95,2.92,69.7,21.1,9.2,332,High,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Maize,Loamy,2.45,2023-07-31,212,7,Bihar,25.0961,85.3131,31.0,37.9,24.8,827.4,827.4,84.3,11.8,21.1,2830.1,Kharif,4.91,6.34,3.88,133,11,3.01,7.35,0.9,229.27,8.72,57.9,24.6,17.5,332,High,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Maize,Alluvial,0.51,2023-06-16,167,6,Andhra Pradesh,15.9129,79.74,28.6,36.2,23.0,760.4,760.4,71.6,10.0,17.7,2969.8,Kharif,5.27,5.81,4.59,160,2,2.48,7.9,0.889,186.38,7.81,36.4,15.6,48.0,332,Medium,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Soybean,Red,1.87,2023-07-17,198,7,Maharashtra,19.7515,75.7139,24.5,31.9,16.7,1193.5,1193.5,73.4,11.3,19.6,1739.4,Kharif,1.73,1.95,1.16,120,9,2.09,6.24,0.9,166.47,1.1,63.0,20.5,16.4,332,High,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Cotton,Red,2.85,2023-06-26,177,6,Andhra Pradesh,15.9129,79.74,17.6,25.3,12.2,1242.5,1242.5,82.8,6.3,23.7,294.4,Kharif,1.4,1.63,1.04,90,8,1.91,6.86,0.9,150.35,1.19,67.3,22.1,10.6,332,High,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Rice,Alluvial,1.84,2023-07-16,197,7,Bihar,25.0961,85.3131,26.9,37.2,19.1,2047.0,2047.0,87.6,3.5,15.3,2476.7,Kharif,5.24,7.01,4.71,145,7,2.96,6.09,0.9,143.35,3.46,59.0,18.7,22.2,332,High,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Soybean,Red,11.73,2023-07-13,194,7,Rajasthan,27.0238,74.2179,29.8,41.8,19.8,1200.1,1200.1,84.3,11.6,16.2,2512.1,Kharif,2.53,2.92,1.56,126,8,1.27,5.7,0.838,236.49,1.81,67.4,26.6,6.0,332,Low,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
